Time(s),Latitude(deg),Longitude(deg),Height(m),North(m/s),East(m/s),Down(m/s)
65.000000,51.509324,-0.161037,32.311481,-1.269544,0.003127,-0.023731
65.500000,51.509340,-0.161061,37.180858,-1.239398,0.046944,0.003155
66.000000,51.509314,-0.161033,37.612014,-1.262500,0.052507,-0.031095
66.500000,51.509289,-0.161002,33.580368,-1.273642,0.011547,-0.032274
67.000000,51.509311,-0.160990,38.795801,-1.222540,0.003143,-0.035644
67.500000,51.509310,-0.161020,33.470592,-1.232365,-0.003394,0.029938
68.000000,51.509271,-0.161026,36.989405,-1.223841,0.005587,-0.018884
68.500000,51.509274,-0.161033,40.290445,-1.229389,-0.001083,-0.025263
69.000000,51.509311,-0.161047,31.167771,-1.255635,-0.006664,0.021610
69.500000,51.509289,-0.161021,38.760333,-1.252689,0.000879,-0.019439
70.000000,51.509274,-0.161012,33.845797,-1.263668,0.008002,0.023802
70.500000,51.509280,-0.161025,34.914203,-1.254398,0.005302,0.039483
71.000000,51.509254,-0.161014,32.742919,-1.260128,0.008227,0.001768
71.500000,51.509249,-0.161015,39.254156,-0.978426,-0.020679,-0.014960
72.000000,51.509244,-0.161001,39.791292,-0.752663,0.015569,-0.052494
72.500000,51.509268,-0.161013,42.804763,-0.493610,0.010283,-0.030439
73.000000,51.509240,-0.161030,31.236059,-0.263050,0.006600,0.045113
73.500000,51.509239,-0.161000,35.791733,-0.212282,0.083621,-0.041721
74.000000,51.509233,-0.160987,39.480371,-0.217779,0.118142,-0.012393
74.500000,51.509232,-0.160999,45.796205,-0.156962,0.156403,-0.049681
75.000000,51.509248,-0.161014,32.140629,-0.141422,0.252789,-0.030265
75.500000,51.509240,-0.160987,35.671833,-0.043462,0.241239,0.028123
76.000000,51.509259,-0.161025,35.763664,0.018251,0.261825,0.031850
76.500000,51.509238,-0.161039,39.117703,0.064098,0.232511,0.022396
77.000000,51.509259,-0.161032,36.312024,0.131784,0.230897,0.039000
77.500000,51.509251,-0.161008,35.319114,0.161392,0.183896,0.002536
78.000000,51.509223,-0.160990,38.670804,0.214175,0.156228,-0.016823
78.500000,51.509249,-0.160971,37.587135,0.219839,0.065062,0.010151
79.000000,51.509243,-0.160984,37.218653,0.229767,-0.001169,-0.004198
79.500000,51.509252,-0.160980,29.457826,0.497601,-0.000906,-0.036293
80.000000,51.509226,-0.161024,36.352370,0.747702,-0.011254,-0.007155
80.500000,51.509249,-0.161027,34.557919,1.005973,0.005353,-0.037413
81.000000,51.509268,-0.161031,37.981637,1.243937,-0.042557,0.000310
81.500000,51.509284,-0.161023,34.932551,1.242936,-0.025299,-0.026278
82.000000,51.509284,-0.161045,34.199286,1.259986,-0.021862,0.050588
82.500000,51.509248,-0.161010,37.538884,1.269726,-0.020403,0.003166
83.000000,51.509280,-0.160972,37.314103,1.255092,-0.001184,0.012475
83.500000,51.509305,-0.161014,31.779723,1.236262,0.004681,0.031632
84.000000,51.509277,-0.161018,35.653336,1.271178,-0.047668,0.017310
84.500000,51.509305,-0.161004,40.127139,1.258405,-0.028666,0.033502
85.000000,51.509324,-0.161040,34.236265,1.261907,0.003892,-0.057647
85.500000,51.509311,-0.161020,34.355638,1.243915,0.023211,-0.059534
86.000000,51.509319,-0.161009,36.475269,1.251427,0.028041,-0.028844
86.500000,51.509317,-0.161004,34.035112,1.235103,0.015768,-0.082711
87.000000,51.509321,-0.161006,35.162117,1.220742,-0.008664,-0.051885
87.500000,51.509333,-0.161004,38.664952,1.248654,-0.061006,-0.029815
88.000000,51.509354,-0.161028,38.925493,1.267293,-0.037897,-0.007154
88.500000,51.509344,-0.161035,31.562695,1.246643,-0.036557,-0.001250
89.000000,51.509345,-0.161023,36.246012,1.266711,-0.008853,0.080378
89.500000,51.509357,-0.160968,39.664862,1.255918,-0.025980,0.095088
90.000000,51.509372,-0.161005,31.894548,1.240377,0.026533,0.051654
90.500000,51.509370,-0.160993,36.841519,1.239283,-0.017285,0.056316
91.000000,51.509357,-0.161015,35.521513,1.263668,0.003148,0.002826
91.500000,51.509376,-0.160985,37.970085,1.233830,-0.034945,0.050772
92.000000,51.509414,-0.161008,35.480031,1.243027,0.000757,0.008609
92.500000,51.509384,-0.161029,36.091270,1.241741,-0.034719,-0.001136
93.000000,51.509422,-0.161007,35.201901,1.245896,-0.013675,-0.031072
93.500000,51.509406,-0.161022,34.687876,1.243242,0.004262,-0.034452
94.000000,51.509393,-0.160976,39.242096,1.275890,0.023454,-0.009086
94.500000,51.509407,-0.161003,31.687865,1.242820,0.007601,0.013622
95.000000,51.509417,-0.160989,39.312937,1.248038,0.051556,0.009509
95.500000,51.509422,-0.160997,37.509881,1.263006,-0.014321,0.004963
96.000000,51.509435,-0.161001,39.307756,1.228733,-0.011489,-0.018512
96.500000,51.509437,-0.160988,39.022160,1.245179,0.021949,0.010521
97.000000,51.509450,-0.160966,38.640902,1.237254,0.028161,0.025475
97.500000,51.509423,-0.161000,39.257393,1.293267,0.007678,0.011682
98.000000,51.509456,-0.161038,33.536015,1.256960,0.023531,-0.021296
98.500000,51.509460,-0.161000,38.203025,1.228559,0.024519,0.013234
99.000000,51.509448,-0.161033,36.339087,1.232466,0.053195,-0.049190
99.500000,51.509470,-0.161025,32.424876,1.235229,0.054203,-0.021171
100.000000,51.509470,-0.161017,37.285812,1.258466,-0.016599,-0.035584
100.500000,51.509466,-0.160995,36.981248,1.241514,0.021805,-0.007011
101.000000,51.509486,-0.161007,36.143890,1.247316,-0.029934,0.033694
101.500000,51.509493,-0.161051,36.132798,1.222492,0.010890,0.009256
102.000000,51.509521,-0.161061,34.188305,1.244738,0.008631,-0.021639
