Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
88.500000,50.416906,-3.583328,-25.972635,15.006347
89.000000,50.416789,-3.583222,-26.003006,15.017620
89.500000,50.416672,-3.583117,-25.992557,15.003978
90.000000,50.416555,-3.583011,-26.017357,15.014919
90.500000,50.416438,-3.582905,-25.978980,14.981867
91.000000,50.416321,-3.582799,-25.983848,15.006104
91.500000,50.416204,-3.582694,-25.995365,14.994552
92.000000,50.416088,-3.582588,-25.985810,15.008009
92.500000,50.415971,-3.582482,-26.005754,15.004068
93.000000,50.415853,-3.582377,-26.002410,14.985951
93.500000,50.415736,-3.582274,-25.980740,14.982011
94.000000,50.415619,-3.582168,-25.983104,15.014423
94.500000,50.415502,-3.582061,-25.961001,15.001501
95.000000,50.415386,-3.581955,-26.008324,15.010646
95.500000,50.415269,-3.581848,-25.990657,15.018256
96.000000,50.415152,-3.581742,-26.013340,14.996483
96.500000,50.415035,-3.581636,-25.974303,15.001004
97.000000,50.414919,-3.581530,-26.057832,14.910829
97.500000,50.414800,-3.581430,-26.768189,13.579026
98.000000,50.414677,-3.581341,-27.388523,12.227033
98.500000,50.414552,-3.581261,-27.979090,10.841290
99.000000,50.414425,-3.581190,-28.453595,9.454350
99.500000,50.414296,-3.581129,-28.929349,7.996141
100.000000,50.414165,-3.581080,-29.289052,6.527501
100.500000,50.414032,-3.581041,-29.574905,5.072925
101.000000,50.413898,-3.581012,-29.772539,3.585666
101.500000,50.413764,-3.580994,-29.923316,2.085692
102.000000,50.413629,-3.580986,-29.987094,0.603075
102.500000,50.413494,-3.580985,-29.989794,-0.003633
103.000000,50.413359,-3.580986,-30.005468,-0.020307
103.500000,50.413224,-3.580986,-30.021571,0.004456
104.000000,50.413089,-3.580986,-29.972029,-0.018829
104.500000,50.412954,-3.580985,-29.992916,-0.005379
105.000000,50.412819,-3.580987,-30.020910,-0.013670
105.500000,50.412684,-3.580989,-30.036886,-0.000799
106.000000,50.412549,-3.580989,-30.013764,0.008628
106.500000,50.412414,-3.580989,-29.995126,0.014286
107.000000,50.412279,-3.580987,-30.053290,0.008992
107.500000,50.412144,-3.580986,-30.024064,0.007851
108.000000,50.412009,-3.580986,-30.022207,-0.006692
108.500000,50.411873,-3.580987,-30.023468,-0.006683
109.000000,50.411738,-3.580987,-29.964054,-0.005434
109.500000,50.411604,-3.580987,-29.977435,-0.006580
110.000000,50.411469,-3.580987,-30.005264,0.025641
110.500000,50.411334,-3.580986,-29.945083,-0.006026
111.000000,50.411199,-3.580987,-30.024739,0.002059
111.500000,50.411064,-3.580987,-29.990278,-0.003393
112.000000,50.410929,-3.580987,-30.024534,-0.001045
112.500000,50.410795,-3.580988,-29.498448,-0.009173
113.000000,50.410664,-3.580989,-28.720010,0.003254
113.500000,50.410537,-3.580990,-27.851487,0.006079
114.000000,50.410413,-3.580990,-27.051038,0.016612
114.500000,50.410293,-3.580990,-26.208398,0.018906
115.000000,50.410177,-3.580989,-25.375591,0.011651
115.500000,50.410065,-3.580989,-24.571267,0.011696
116.000000,50.409957,-3.580989,-23.722492,0.021798
116.500000,50.409852,-3.580990,-22.924470,0.020056
117.000000,50.409751,-3.580990,-22.006860,-0.007434
