Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
70.500000,50.420156,-3.586122,-17.488796,10.746590
71.000000,50.420077,-3.586049,-17.512961,10.346522
71.500000,50.419997,-3.585979,-18.159594,9.541600
72.000000,50.419918,-3.585906,-17.196620,10.873556
72.500000,50.419840,-3.585832,-17.574691,10.272287
73.000000,50.419760,-3.585759,-17.683819,10.484422
73.500000,50.419681,-3.585688,-17.700297,9.807650
74.000000,50.419601,-3.585619,-17.871883,9.844594
74.500000,50.419522,-3.585548,-17.467121,10.272028
75.000000,50.419442,-3.585476,-17.828035,10.242778
75.500000,50.419363,-3.585404,-17.369581,10.281550
76.000000,50.419285,-3.585330,-17.571637,10.579377
76.500000,50.419208,-3.585250,-16.510891,11.867371
77.000000,50.419132,-3.585171,-17.442757,10.787334
77.500000,50.419052,-3.585099,-17.943879,10.047959
78.000000,50.418971,-3.585023,-17.970846,11.118900
78.500000,50.418888,-3.584947,-18.904716,10.753643
79.000000,50.418802,-3.584869,-19.149046,11.236357
79.500000,50.418714,-3.584793,-19.908001,10.591095
80.000000,50.418624,-3.584715,-20.334813,11.426294
80.500000,50.418533,-3.584631,-20.235124,12.124996
81.000000,50.418440,-3.584546,-21.027283,12.215382
81.500000,50.418345,-3.584457,-21.190733,12.812790
82.000000,50.418246,-3.584372,-22.338077,11.541254
82.500000,50.418146,-3.584284,-22.234569,13.314590
83.000000,50.418045,-3.584191,-22.717688,13.028683
83.500000,50.417943,-3.584095,-22.763979,14.149932
84.000000,50.417838,-3.583999,-23.812577,13.293300
84.500000,50.417730,-3.583901,-23.843613,14.334402
85.000000,50.417623,-3.583797,-23.980850,15.066999
85.500000,50.417510,-3.583700,-25.896775,13.050897
86.000000,50.417398,-3.583596,-24.442911,16.044335
86.500000,50.417284,-3.583486,-25.773253,15.223164
87.000000,50.417166,-3.583382,-26.609502,14.475902
87.500000,50.417045,-3.583280,-27.018092,14.669206
88.000000,50.416927,-3.583171,-26.028785,15.906138
88.500000,50.416811,-3.583055,-25.577347,17.060046
89.000000,50.416693,-3.582945,-26.794780,14.448012
89.500000,50.416573,-3.582839,-26.506039,15.696555
90.000000,50.416454,-3.582730,-26.342261,15.275897
90.500000,50.416336,-3.582620,-26.190515,15.809157
91.000000,50.416218,-3.582510,-26.364496,15.591915
91.500000,50.416099,-3.582403,-26.730239,14.860860
92.000000,50.415980,-3.582294,-26.015970,16.080380
92.500000,50.415863,-3.582181,-26.094621,16.003102
93.000000,50.415742,-3.582080,-27.480086,13.205534
93.500000,50.415619,-3.581985,-27.260970,13.575369
94.000000,50.415500,-3.581878,-25.997096,16.515380
94.500000,50.415384,-3.581762,-25.807963,16.496129
95.000000,50.415267,-3.581647,-26.145523,16.047198
95.500000,50.415150,-3.581533,-25.801810,16.402217
96.000000,50.415032,-3.581421,-26.460173,15.573884
96.500000,50.414914,-3.581312,-26.248181,15.440342
