Time(s),Latitude(deg),Longitude(deg),North(m/s),East(m/s)
97.500000,50.414812,-3.581455,-26.768394,13.569676
98.000000,50.414689,-3.581365,-27.386299,12.222225
98.500000,50.414565,-3.581285,-27.973793,10.843898
99.000000,50.414438,-3.581214,-28.447964,9.456546
99.500000,50.414309,-3.581154,-28.928090,7.987502
100.000000,50.414178,-3.581104,-29.284589,6.526225
100.500000,50.414045,-3.581064,-29.570449,5.081703
101.000000,50.413912,-3.581035,-29.767441,3.587541
101.500000,50.413778,-3.581016,-29.918614,2.092601
102.000000,50.413644,-3.581007,-29.982840,0.606929
102.500000,50.413508,-3.581005,-29.986182,-0.003872
103.000000,50.413374,-3.581005,-30.000984,-0.016961
103.500000,50.413239,-3.581005,-30.018312,0.007594
104.000000,50.413104,-3.581004,-29.967176,-0.015933
104.500000,50.412969,-3.581005,-29.990286,-0.015958
105.000000,50.412835,-3.581007,-30.014639,-0.011156
105.500000,50.412700,-3.581005,-30.034447,0.013408
106.000000,50.412565,-3.581005,-30.009351,0.014945
106.500000,50.412430,-3.581003,-29.991455,0.017763
107.000000,50.412296,-3.581003,-30.049026,0.000225
107.500000,50.412160,-3.581004,-30.021248,-0.005142
108.000000,50.412026,-3.581005,-30.018012,-0.010343
108.500000,50.411891,-3.581005,-30.020026,-0.007556
109.000000,50.411756,-3.581005,-29.959057,0.001396
109.500000,50.411621,-3.581004,-29.974051,-0.005927
110.000000,50.411487,-3.581004,-29.999965,0.024210
110.500000,50.411352,-3.581004,-29.942206,-0.011593
111.000000,50.411217,-3.581005,-30.018988,0.000485
111.500000,50.411083,-3.581004,-29.987612,0.004032
112.000000,50.410948,-3.581005,-30.018853,-0.008960
112.500000,50.410814,-3.581005,-29.496065,-0.007403
113.000000,50.410684,-3.581005,-28.713548,0.012888
113.500000,50.410557,-3.581004,-27.844807,0.013116
114.000000,50.410434,-3.581004,-27.044036,0.013708
114.500000,50.410315,-3.581003,-26.200987,0.020530
115.000000,50.410199,-3.581003,-25.369554,0.009931
115.500000,50.410087,-3.581004,-24.563581,0.009762
116.000000,50.409978,-3.581003,-23.717097,0.022978
116.500000,50.409875,-3.581004,-22.916704,0.021624
117.000000,50.409774,-3.581003,-22.002613,-0.002689
117.500000,50.409677,-3.581003,-21.228550,0.010575
118.000000,50.409584,-3.581003,-20.418331,0.010218
118.500000,50.409494,-3.581003,-19.532335,-0.000692
119.000000,50.409409,-3.581002,-18.697220,0.008073
119.500000,50.409327,-3.581002,-17.889643,0.003644
120.000000,50.409249,-3.581002,-17.027790,0.019800
120.500000,50.409174,-3.581003,-16.181987,0.018007
121.000000,50.409104,-3.581002,-15.366118,0.009361
121.500000,50.409037,-3.581002,-14.527471,0.007466
122.000000,50.408974,-3.581002,-13.657528,0.005159
122.500000,50.408915,-3.581002,-12.874764,-0.000760
123.000000,50.408859,-3.581003,-12.038351,-0.001578
123.500000,50.408808,-3.581003,-11.188613,-0.008219
124.000000,50.408759,-3.581002,-10.364470,0.012390
124.500000,50.408715,-3.581002,-9.518040,-0.012182
125.000000,50.408674,-3.581003,-8.668443,0.011525
125.500000,50.408637,-3.581002,-7.864591,-0.005109
126.000000,50.408604,-3.581002,-7.006972,0.002596
126.500000,50.408575,-3.581002,-6.189614,-0.003834
127.000000,50.408550,-3.581003,-5.342640,-0.003341
127.500000,50.408527,-3.580997,-4.834986,1.180320
128.000000,50.408508,-3.580980,-3.739100,3.360266
128.500000,50.408497,-3.580951,-1.608922,4.704396
129.000000,50.408494,-3.580917,0.009807,4.896323
129.500000,50.408494,-3.580885,0.025589,4.392033
130.000000,50.408494,-3.580856,-0.018255,3.868301
130.500000,50.408493,-3.580831,-0.008687,3.379121
131.000000,50.408493,-3.580809,-0.016704,2.881782
131.500000,50.408493,-3.580791,0.004822,2.370613
132.000000,50.408493,-3.580776,0.014201,1.874691
132.500000,50.408493,-3.580765,0.039304,1.368436
133.000000,50.408493,-3.580757,0.034703,0.867978
133.500000,50.408493,-3.580753,0.008697,0.373002
134.000000,50.408493,-3.580752,0.006291,-0.000489
134.500000,50.408493,-3.580753,-0.010214,-0.025320
135.000000,50.408493,-3.580752,-0.017840,-0.014063
135.500000,50.408493,-3.580753,0.009136,0.011646
136.000000,50.408493,-3.580753,-0.003502,-0.003680
136.500000,50.408493,-3.580752,0.005068,0.009082
137.000000,50.408493,-3.580752,-0.031040,0.011372
